;Preço_hoje;Liquidez_media;P/L;P/VP;Dy 12m 2021;Dl/Pl_hoje;Lpa_2020;Lpa_2019;Setor;Sub_setor
INEP3;1,54;2.214.307,44;-0,88;-0,10;-%;-;-59,49;-58,23;Bens Industriais;Máquinas e Equipamentos
INEP4;1,54;1.589.483,16;-0,88;-0,10;-%;-;-59,49;-58,23;Bens Industriais;Máquinas e Equipamentos
INNT3;0,00;-;0,00;0,00;-%;2,50;-0,46;0,92;Consumo Cíclico;Construção Civil
IRBR3;4,23;64.828.710,68;-5,75;1,33;-%;-;-1,20;3,88;Financeiro e Outros;Previdência e Seguros
ITEC3;40,10;-;-35,12;22,04;-%;-1,02;-1,14;-1,14;Tecnologia da Informação;Computadores e Equipamentos
ITSA3;9,99;1.946.637,52;7,15;1,34;4,73%;0,07;0,84;1,23;Financeiro e Outros;Intermediários Financeiros
ITSA4;9,88;285.270.922,12;7,08;1,33;4,78%;0,07;0,84;1,23;Financeiro e Outros;Intermediários Financeiros
ITUB3;20,60;21.876.511,48;6,93;1,37;4,71%;-;1,93;2,77;Financeiro e Outros;Intermediários Financeiros
ITUB4;22,96;932.323.370,00;7,72;1,53;4,23%;-;1,93;2,77;Financeiro e Outros;Intermediários Financeiros
JBDU3;3,12;2.292.809,73;-6,94;1,03;-%;0,11;-1,29;-32,02;Financeiro e Outros;Holdings Diversificadas
JBDU4;1,36;2.433.527,00;-2,68;0,40;-%;0,11;-1,29;-32,02;Financeiro e Outros;Holdings Diversificadas
JBSS3;34,41;328.639.969,32;4,53;1,75;8,77%;1,29;1,75;2,22;Consumo não Cíclico;Alimentos Processados
JFEN3;1,05;458.441,40;-0,62;-0,23;-%;-;-1,60;-3,56;Consumo Cíclico;Construção Civil
JHSF3;5,31;23.701.174,48;3,96;0,82;7,42%;0,25;0,94;0,61;Consumo Cíclico;Construção Civil
JOPA3;30,00;20.132,89;19,23;0,58;2,85%;0,79;3,01;1,01;Consumo não Cíclico;Alimentos Processados
JOPA4;38,59;3.859,00;24,73;0,75;2,44%;0,79;3,01;1,01;Consumo não Cíclico;Alimentos Processados
JPSA3;29,37;8.967.958,41;20,14;1,92;0,39%;1,10;0,87;1,46;Financeiro e Outros;Exploração de Imóveis
JSLG3;7,61;6.520.728,84;8,82;1,62;1,77%;1,98;0,65;1,10;Bens Industriais;Transporte
KEPL3;33,00;7.961.569,36;11,02;1,46;5,07%;-0,55;2,57;1,43;Bens Industriais;Máquinas e Equipamentos
KLBN11;25,05;100 %;8,49;5,21;1,46%;3,70;-2,21;0,62;Materiais Básicos;Madeira e Papel
KLBN3;6,17;619.108,28;10,46;6,42;1,19%;3,70;-0,44;0,12;Materiais Básicos;Madeira e Papel
KLBN4;4,72;2.378.807,72;8,00;4,91;1,55%;3,70;-0,44;0,12;Materiais Básicos;Madeira e Papel
LAME3;5,41;28.199.625,44;17,34;1,56;3,97%;1,01;0,21;0,44;Consumo Cíclico;Comércio
LAME4;5,42;173.358.782,92;17,37;1,57;3,96%;1,01;0,21;0,44;Consumo Cíclico;Comércio
LAVV3;5,07;6.167.422,84;5,11;0,77;13,41%;-0,44;0,44;-;Consumo Cíclico;Construção Civil
LCAM3;23,79;66.597.552,64;17,19;2,54;1,59%;1,31;0,76;2,27;Consumo Cíclico;Diversos
LEVE3;31,20;15.700.874,00;7,46;2,33;2,98%;-0,03;0,97;2,02;Consumo Cíclico;Automóveis e Motocicletas
LHER3;0,00;-;0,00;0,00;-%;-0,15;2,76;2,76;Financeiro e Outros;Exploração de Imóveis
LHER4;0,00;-;0,00;0,00;-%;-0,15;2,76;2,76;Financeiro e Outros;Exploração de Imóveis
LIGT3;12,26;38.827.595,24;6,02;0,52;3,60%;0,82;2,28;4,10;Utilidade Pública;Energia Elétrica
LINX3;37,40;105.252.650,44;-90,95;4,38;1,51%;-0,14;-0,42;0,23;Tecnologia da Informação;Programas e Serviços
LIPR3;69,80;27.627,00;32,08;3,97;2,90%;-0,39;3,85;-0,20;Utilidade Pública;Energia Elétrica
LJQQ3;10,57;25.884.934,04;25,38;3,73;0,81%;-0,28;0,36;-;Consumo Cíclico;Comércio
LLIS3;1,35;1.483.344,84;-0,05;0,70;-%;12,24;-29,12;-3,74;Consumo Cíclico;Comércio
LOGG3;23,29;14.741.200,56;7,52;0,72;1,40%;0,30;1,37;1,22;Financeiro e Outros;Exploração de Imóveis
LOGN3;21,85;13.021.174,36;11,02;5,28;-%;1,84;0,12;0,48;Bens Industriais;Transporte
LPSB3;2,44;3.324.019,72;6,48;1,64;-%;-0,59;-0,03;-0,03;Financeiro e Outros;Exploração de Imóveis
LREN3;29,46;345.157.964,68;51,28;3,07;1,41%;-0,25;1,38;1,39;Consumo Cíclico;Comércio
LTEL3B;86,61;-;12,34;5,32;5,02%;-0,18;1,71;1,10;Materiais Básicos;Mineração
LUPA3;6,09;21.336.461,28;1,83;1,33;-%;0,92;0,78;-1,58;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis
LUXM3;0,00;-;0,00;0,00;-%;-0,09;1,62;2,50;Bens Industriais;Transporte
